Time (s),Temp 1 (F),Temp 2 (F),Humidity 1 (%),Humidity 2 (%),Time (s),Control Force
163.3,93.56,91.04,32.0,34.0,,0
164.5,93.56,91.04,32.0,34.0,,0
165.7,93.56,91.04,32.0,34.0,,0
166.9,93.56,91.04,32.0,34.0,,0
168.1,93.56,91.04,32.0,34.0,,0
169.3,93.56,90.86,32.0,34.0,,0
170.5,93.56,90.14,32.0,34.0,,0
171.7,93.56,90.14,32.0,34.0,,0
172.9,93.56,90.14,32.0,34.0,,0
174.1,93.56,90.14,32.0,34.0,,0
175.3,93.56,90.14,32.0,34.0,,0
176.5,93.56,90.14,32.0,34.0,,0
177.7,93.56,90.14,32.0,34.0,,0
178.9,93.56,90.14,32.0,34.0,,0
180.1,93.56,90.14,32.0,34.0,,0
181.3,93.56,90.14,32.0,34.0,,0
182.5,93.56,90.14,32.0,34.0,,0
183.7,93.56,90.14,32.0,34.0,,0
184.9,93.56,90.14,32.0,34.0,,0
186.1,93.56,90.14,32.0,34.0,,0
187.3,93.56,90.14,32.0,34.0,,0
188.5,93.56,90.14,32.0,34.0,,0
189.7,93.56,90.14,32.0,35.0,,0
190.9,93.56,90.14,32.0,35.0,,0
192.1,93.56,90.14,32.0,35.0,,0
193.3,93.56,90.14,32.0,35.0,,0
194.5,93.56,90.14,32.0,35.0,,0
195.7,93.56,90.14,32.0,35.0,,0
196.9,93.56,90.14,32.0,35.0,,0
198.1,93.56,90.14,32.0,35.0,,0
199.3,93.56,90.14,32.0,35.0,,0
200.5,93.56,89.24,32.0,35.0,,0
201.7,93.56,89.24,32.0,35.0,,0
202.9,93.56,89.24,32.0,35.0,,0
204.1,93.56,89.24,32.0,35.0,,0
205.3,93.56,89.24,32.0,35.0,,0
206.5,93.56,89.24,32.0,35.0,,0
207.7,93.56,89.24,32.0,35.0,,0
208.9,93.56,89.24,32.0,35.0,,0
210.1,93.56,89.24,32.0,35.0,,0
211.3,93.56,89.24,32.0,35.0,,0
212.5,93.56,89.24,32.0,35.0,,0
213.7,93.56,89.24,32.0,35.0,,0
214.9,93.56,89.24,32.0,35.0,,0
216.1,93.56,89.24,32.0,35.0,,0
217.3,93.56,89.24,32.0,35.0,,0
218.5,93.56,89.24,32.0,35.0,,0
219.7,93.56,89.24,32.0,35.0,,0
220.9,93.56,89.24,32.0,35.0,,0
222.1,93.56,89.24,32.0,35.0,,0
223.3,93.56,89.24,32.0,35.0,,0
224.5,93.56,89.24,32.0,35.0,,0
225.7,93.56,89.24,32.0,35.0,,0
226.9,93.56,89.24,32.0,35.0,,0
228.1,93.56,89.24,32.0,35.0,,0
229.3,93.56,89.24,32.0,35.0,,0
230.5,93.56,89.24,32.0,35.0,,0
231.7,93.56,88.7,32.0,35.0,,0
232.9,93.56,88.34,32.0,35.0,,0
234.1,93.56,88.34,33.0,35.0,,0
235.3,93.56,88.34,33.0,35.0,,0
236.5,93.56,88.34,33.0,35.0,,0
237.7,93.56,88.34,33.0,35.0,,0
238.9,93.56,88.34,33.0,35.0,,0
240.1,93.56,88.34,33.0,35.0,,0
241.3,93.56,88.34,33.0,35.0,,0
242.5,93.56,88.34,33.0,35.0,,0
243.7,93.56,88.34,33.0,35.0,,0
244.9,93.56,88.34,33.0,35.0,,0
246.1,93.56,88.34,33.0,36.0,,0
247.3,93.56,88.34,33.0,36.0,,0
248.5,93.56,88.34,33.0,36.0,,0
249.7,93.56,88.34,33.0,36.0,,0
250.9,93.56,88.34,33.0,36.0,,0
252.1,93.56,88.34,33.0,36.0,,0
253.3,93.56,88.34,33.0,36.0,,0
254.5,93.56,88.34,33.0,36.0,,0
255.7,93.56,88.34,33.0,36.0,,0
256.9,93.56,88.34,33.0,36.0,,0
258.1,93.56,88.34,33.0,36.0,,0
259.3,93.56,88.34,33.0,36.0,,0
260.5,93.56,88.34,33.0,36.0,,0
261.7,93.56,88.34,33.0,36.0,,0
